,实际功率,实际功率,predicted_power,predicted_power,abs_error,abs_error
,mean,std,mean,std,mean,std
hour,,,,,,
0,19647.45,13309.54,23406.88,6006.01,10801.39,5424.5
1,21559.34,13477.03,22004.14,7483.05,11538.91,7269.2
2,20038.56,12862.2,21231.76,8856.24,12095.63,7456.74
3,17867.72,10941.48,20921.43,9214.27,7964.32,5353.31
4,17125.51,11329.32,21901.66,9782.73,6955.53,2782.9
5,15982.57,11846.33,18537.0,10676.65,6032.26,4267.14
6,15685.83,12785.85,16610.88,9476.57,6413.63,5651.23
7,16233.77,13375.33,14926.44,8490.63,5333.21,6142.78
8,14780.13,12956.43,11927.91,8409.28,4377.75,5229.61
9,13038.79,10308.08,10931.85,8965.47,2741.86,2925.05
10,12113.78,9691.07,11511.26,9528.12,3101.59,3251.99
11,13009.32,10238.59,13093.68,10305.64,5037.28,4106.38
12,12358.52,10111.73,13696.51,10943.68,4774.07,3866.76
13,11948.89,11329.13,13385.13,10651.98,5123.13,3426.22
14,12988.13,12346.25,14030.46,10367.22,3280.79,2684.88
15,12960.36,13164.59,14087.48,10430.08,3882.51,2454.21
16,12659.39,12522.15,14009.21,9383.46,3822.66,2515.37
17,12153.25,12477.17,15081.67,9443.79,4969.75,3427.8
18,11795.25,11094.88,18390.56,11608.05,8384.22,7165.82
19,12093.08,10362.74,18407.65,10594.08,7541.67,5448.58
20,13410.94,10911.6,19710.36,9484.08,7227.21,4912.31
21,16247.27,12140.29,21580.86,9062.5,6833.4,4745.41
22,19116.23,13747.98,21456.76,8007.72,8083.11,4943.58
23,18662.48,13091.22,22382.25,6833.68,10133.61,4825.75
