时间,负荷
2024-08-01 00:00:00,19727
2024-08-01 00:15:00,18408
2024-08-01 00:30:00,35736
2024-08-01 00:45:00,36153
2024-08-01 01:00:00,34454
2024-08-01 01:15:00,36382
2024-08-01 01:30:00,35594
2024-08-01 01:45:00,35070
2024-08-01 02:00:00,33998
2024-08-01 02:15:00,32449
2024-08-01 02:30:00,32438
2024-08-01 02:45:00,34350
2024-08-01 03:00:00,34536
2024-08-01 03:15:00,33167
2024-08-01 03:30:00,34945
2024-08-01 03:45:00,33667
2024-08-01 04:00:00,34369
2024-08-01 04:15:00,33180
2024-08-01 04:30:00,30374
2024-08-01 04:45:00,29895
2024-08-01 05:00:00,31048
2024-08-01 05:15:00,32382
2024-08-01 05:30:00,34640
2024-08-01 05:45:00,35330
2024-08-01 06:00:00,30133
2024-08-01 06:15:00,30047
2024-08-01 06:30:00,29917
2024-08-01 06:45:00,29862
2024-08-01 07:00:00,29725
2024-08-01 07:15:00,30056
2024-08-01 07:30:00,28913
2024-08-01 07:45:00,28869
2024-08-01 08:00:00,23404
2024-08-01 08:15:00,24113
2024-08-01 08:30:00,18293
2024-08-01 08:45:00,14503
2024-08-01 09:00:00,16934
2024-08-01 09:15:00,16741
2024-08-01 09:30:00,17942
2024-08-01 09:45:00,15061
2024-08-01 10:00:00,15524
2024-08-01 10:15:00,15617
2024-08-01 10:30:00,15427
2024-08-01 10:45:00,15532
2024-08-01 11:00:00,15530
2024-08-01 11:15:00,15241
2024-08-01 11:30:00,25249
2024-08-01 11:45:00,23622
2024-08-01 12:00:00,23666
2024-08-01 12:15:00,15526
2024-08-01 12:30:00,20615
2024-08-01 12:45:00,25189
2024-08-01 13:00:00,25329
2024-08-01 13:15:00,25635
2024-08-01 13:30:00,25102
2024-08-01 13:45:00,28567
2024-08-01 14:00:00,31364
2024-08-01 14:15:00,34461
2024-08-01 14:30:00,34506
2024-08-01 14:45:00,34698
2024-08-01 15:00:00,31386
2024-08-01 15:15:00,37614
2024-08-01 15:30:00,34079
2024-08-01 15:45:00,34065
2024-08-01 16:00:00,34336
2024-08-01 16:15:00,36991
2024-08-01 16:30:00,35729
2024-08-01 16:45:00,35590
2024-08-01 17:00:00,37795
2024-08-01 17:15:00,38386
2024-08-01 17:30:00,36532
2024-08-01 17:45:00,36665
2024-08-01 18:00:00,36727
2024-08-01 18:15:00,35569
2024-08-01 18:30:00,41386
2024-08-01 18:45:00,40418
2024-08-01 19:00:00,41887
2024-08-01 19:15:00,42531
2024-08-01 19:30:00,42702
2024-08-01 19:45:00,42696
2024-08-01 20:00:00,42566
2024-08-01 20:15:00,42612
2024-08-01 20:30:00,42416
2024-08-01 20:45:00,42716
2024-08-01 21:00:00,42444
2024-08-01 21:15:00,42575
2024-08-01 21:30:00,42732
2024-08-01 21:45:00,42609
2024-08-01 22:00:00,42535
2024-08-01 22:15:00,42008
2024-08-01 22:30:00,42744
2024-08-01 22:45:00,42241
2024-08-01 23:00:00,42482
2024-08-01 23:15:00,40519
2024-08-01 23:30:00,40697
2024-08-01 23:45:00,40528
2024-08-02 00:00:00,40656
2024-08-02 00:15:00,40732
2024-08-02 00:30:00,40565
2024-08-02 00:45:00,40608
2024-08-02 01:00:00,40746
2024-08-02 01:15:00,40125
2024-08-02 01:30:00,40369
2024-08-02 01:45:00,40339
2024-08-02 02:00:00,40623
2024-08-02 02:15:00,40465
2024-08-02 02:30:00,39537
2024-08-02 02:45:00,39043
2024-08-02 03:00:00,35381
2024-08-02 03:15:00,36621
2024-08-02 03:30:00,34429
2024-08-02 03:45:00,32935
2024-08-02 04:00:00,33356
2024-08-02 04:15:00,32836
2024-08-02 04:30:00,37848
2024-08-02 04:45:00,38737
2024-08-02 05:00:00,39267
2024-08-02 05:15:00,39668
2024-08-02 05:30:00,38744
2024-08-02 05:45:00,33338
2024-08-02 06:00:00,33166
2024-08-02 06:15:00,31363
2024-08-02 06:30:00,29212
2024-08-02 06:45:00,26527
2024-08-02 07:00:00,24065
2024-08-02 07:15:00,21203
2024-08-02 07:30:00,18421
2024-08-02 07:45:00,16878
2024-08-02 08:00:00,16026
2024-08-02 08:15:00,19755
2024-08-02 08:30:00,18783
2024-08-02 08:45:00,15388
2024-08-02 09:00:00,14546
2024-08-02 09:15:00,11622
2024-08-02 09:30:00,10961
2024-08-02 09:45:00,9783
2024-08-02 10:00:00,8994
2024-08-02 10:15:00,9670
2024-08-02 10:30:00,12084
2024-08-02 10:45:00,13604
2024-08-02 11:00:00,12360
2024-08-02 11:15:00,12439
2024-08-02 11:30:00,14602
2024-08-02 11:45:00,12976
2024-08-02 12:00:00,11553
2024-08-02 12:15:00,8912
2024-08-02 12:30:00,5603
2024-08-02 12:45:00,5595
2024-08-02 13:00:00,7043
2024-08-02 13:15:00,6501
2024-08-02 13:30:00,5272
2024-08-02 13:45:00,6868
2024-08-02 14:00:00,5669
2024-08-02 14:15:00,6983
2024-08-02 14:30:00,8883
2024-08-02 14:45:00,11118
2024-08-02 15:00:00,12925
2024-08-02 15:15:00,13609
2024-08-02 15:30:00,13328
2024-08-02 15:45:00,13650
2024-08-02 16:00:00,13466
2024-08-02 16:15:00,13570
2024-08-02 16:30:00,13605
2024-08-02 16:45:00,26263
2024-08-02 17:00:00,26117
2024-08-02 17:15:00,26011
2024-08-02 17:30:00,26169
2024-08-02 17:45:00,26169
2024-08-02 18:00:00,26333
2024-08-02 18:15:00,25761
2024-08-02 18:30:00,25867
2024-08-02 18:45:00,34762
2024-08-02 19:00:00,34964
2024-08-02 19:15:00,36622
2024-08-02 19:30:00,37836
2024-08-02 19:45:00,41881
2024-08-02 20:00:00,43224
2024-08-02 20:15:00,41511
2024-08-02 20:30:00,42006
2024-08-02 20:45:00,41201
2024-08-02 21:00:00,40754
2024-08-02 21:15:00,34213
2024-08-02 21:30:00,35241
2024-08-02 21:45:00,34253
2024-08-02 22:00:00,36379
2024-08-02 22:15:00,36055
2024-08-02 22:30:00,38928
2024-08-02 22:45:00,42115
2024-08-02 23:00:00,43433
2024-08-02 23:15:00,41067
2024-08-02 23:30:00,41067
2024-08-02 23:45:00,38170
2024-08-03 00:00:00,34552
2024-08-03 00:15:00,35014
2024-08-03 00:30:00,36685
2024-08-03 00:45:00,38169
2024-08-03 01:00:00,39330
2024-08-03 01:15:00,39185
2024-08-03 01:30:00,41249
2024-08-03 01:45:00,42394
2024-08-03 02:00:00,42179
2024-08-03 02:15:00,39009
2024-08-03 02:30:00,37540
2024-08-03 02:45:00,36830
2024-08-03 03:00:00,34382
2024-08-03 03:15:00,32588
2024-08-03 03:30:00,30885
2024-08-03 03:45:00,27593
2024-08-03 04:00:00,24911
2024-08-03 04:15:00,28809
2024-08-03 04:30:00,32633
2024-08-03 04:45:00,38925
2024-08-03 05:00:00,43469
2024-08-03 05:15:00,42545
2024-08-03 05:30:00,43157
2024-08-03 05:45:00,43624
2024-08-03 06:00:00,41533
2024-08-03 06:15:00,43967
2024-08-03 06:30:00,40353
2024-08-03 06:45:00,38856
2024-08-03 07:00:00,39688
2024-08-03 07:15:00,36417
2024-08-03 07:30:00,32819
2024-08-03 07:45:00,28243
2024-08-03 08:00:00,27340
2024-08-03 08:15:00,25978
2024-08-03 08:30:00,26755
2024-08-03 08:45:00,24905
